,airbnb_listing_id,suburb,ad_name,number_of_bedrooms,number_of_bathrooms,star_rating,is_superhost,number_of_reviews
0,31389869,Jurerê,Lindo Apartamento em Jurerê,2.0,2.0,5.0,False,15.0
1,40010667,Canasvieiras,"Residencial Arruda, 1 quarto",1.0,1.0,,False,0.0
2,38905997,Ingleses,Apartamento NOVO Completo - Moderno e Sofisticado,1.0,1.0,4.5,True,13.0
3,22343656,Ingleses,06- Apartamento 02 habitaciones,2.0,1.0,5.0,True,28.0
4,18328184,Canasvieiras,"Apto 2 quartos em Canasvieiras, Florianopolis!",2.0,1.0,5.0,True,35.0
5,31301214,Ingleses,Apartamento beira mar com piscina nos Ingleses,2.0,2.0,5.0,True,62.0
6,28314458,Ingleses,Edifício Topázio,1.0,1.0,4.5,False,32.0
7,40404985,Canasvieiras,Residencial Boutique Vó Alice apto 02,1.0,1.0,4.5,False,3.0
8,43235890,Lagoa da Conceição,Apto em frente as Dunas e 400m do mar (203),1.0,1.0,,False,0.0
9,28465642,Ingleses,Kitnet na praia dos ingleses,1.0,1.0,4.0,False,16.0
10,22476816,Ingleses,Praia dos Ingleses Férias e conforto perto do mar,2.0,1.0,5.0,False,12.0
11,28466163,Ingleses,"Quadra de esportes, 100 metros do mar!",2.0,1.0,,False,0.0
12,21923397,Lagoa da Conceição,Loft fantástico ótima localização centrinho Lagoa!,,1.0,5.0,False,6.0
13,41748512,Ingleses,Apto térreo,2.0,1.0,,False,0.0
14,44281223,Ingleses,Apartamento nos Ingleses (melhor custo-benefício),3.0,2.0,5.0,True,25.0
15,5228549,Canasvieiras,Amplo apto 3 dorm a 50m da praia.,3.0,2.0,5.0,False,4.0
16,30576435,Ingleses,3 dormitórios- atravesse a rua e esteja na praia!,3.0,2.0,,False,2.0
17,41324897,Lagoa da Conceição,Apartamento Lagoa da Conceição,1.0,1.0,,False,0.0
18,15237342,Centro,Apartamento próximo da praia,1.0,1.0,5.0,False,4.0
19,4872617,Canasvieiras,"Apartamento Cobertura Horizontal, quadra da praia",2.0,1.0,,False,0.0
20,42714342,Ingleses,Aconchegante apartamento pra suas férias na praia.,2.0,1.0,,False,1.0
21,22315120,Ingleses,Ingleses Apartamento impecável,1.0,1.0,5.0,True,14.0
22,29181582,Ingleses,Apartam 02 dorm vista para o mar praia Ingleses,2.0,1.0,,False,1.0
23,21412825,Ingleses,Apartamento para 6 pessoas em Ingleses,2.0,2.0,5.0,True,28.0
24,22596803,Ingleses,Cantinho aconchegante duplex,1.0,1.0,,False,1.0
25,30207522,Ingleses,Aconchego e conforto a 6 minutos do mar,2.0,2.0,5.0,True,19.0
26,15915471,Ingleses,Cobertura nos Ingleses de frente para a natureza!!,2.0,1.0,,False,0.0
27,39243228,Canasvieiras,"204 Creta, a 80m do mar.",1.0,1.0,,True,0.0
28,28009579,Canasvieiras,Apto  CANAS - 1quadra do MAR com vista LATERAL/mar,3.0,2.0,4.5,False,18.0
29,32898349,Ingleses,Apartamento alto padrão 30m da praia dos ingleses,2.0,1.0,,False,2.0
30,31715040,Ingleses,Aconchegante apartamento - 2 dorm - Ingleses,2.0,2.0,,False,2.0
31,41136048,Ingleses,Apartamento 103 - Residencial Madri,3.0,2.0,,False,0.0
32,29520122,Ingleses,Apartamento  Florianopolis praia Ingleses,2.0,2.0,,False,0.0
33,36805305,Centro,Loft no centro de Florianópolis 09,,1.0,4.5,False,20.0
